label,field,metric,PIDL,FEM22_projected,PIDL_over_FEM
r3_alpha,eps_eq,p999,56.562381771087644,31.141321869303304,1.816312808058493
r3_alpha,eps_eq,max,59.83981704711914,34.033600800343166,1.758257006014943
initial_joint,psi_raw,tip_2l0_mean,3.713460191133786,2.8790210039561908,1.289834352035277
initial_joint,psi_raw,domain_mean,1.746960635029898,0.9048060665071079,1.930756987266701
initial_joint,psi_raw,p99,0.06971532985567988,156.2744430541712,0.0004461083238768201
initial_joint,psi_raw,p999,2392.5078330078127,651.2774658203125,3.6735615134393513
initial_joint,psi_raw,max,2703.6845703125,685.90625,3.9417698414506357
initial_uv,psi_raw,tip_2l0_mean,3.713460191133786,2.8790210039561908,1.289834352035277
initial_uv,psi_raw,domain_mean,1.746960635029898,0.9048060665071079,1.930756987266701
initial_uv,psi_raw,p99,0.06971532985567988,156.2744430541712,0.0004461083238768201
initial_uv,psi_raw,p999,2392.5078330078127,651.2774658203125,3.6735615134393513
initial_uv,psi_raw,max,2703.6845703125,685.90625,3.9417698414506357
r1_uv,psi_raw,tip_2l0_mean,0.3963207588724488,2.8790210039561908,0.13765816863713284
r1_uv,psi_raw,domain_mean,0.053110279983740225,0.9048060665071079,0.05869797070301032
r1_uv,psi_raw,p99,3.854472436904905,156.2744430541712,0.024664765150171006
r1_uv,psi_raw,p999,49.93012508392335,651.2774658203125,0.07666490505860535
r1_uv,psi_raw,max,53.94855499267578,685.90625,0.07865295729944986
r1_alpha,psi_raw,tip_2l0_mean,0.3963207588724488,2.8790210039561908,0.13765816863713284
r1_alpha,psi_raw,domain_mean,0.053110279983740225,0.9048060665071079,0.05869797070301032
r1_alpha,psi_raw,p99,3.854472436904905,156.2744430541712,0.024664765150171006
r1_alpha,psi_raw,p999,49.93012508392335,651.2774658203125,0.07666490505860535
r1_alpha,psi_raw,max,53.94855499267578,685.90625,0.07865295729944986
r2_uv,psi_raw,tip_2l0_mean,1.3337802881306526,2.8790210039561908,0.46327563650902365
r2_uv,psi_raw,domain_mean,0.4170814463172661,0.9048060665071079,0.46096225672685587
r2_uv,psi_raw,p99,3.0549694395065266,156.2744430541712,0.019548746294028047
r2_uv,psi_raw,p999,530.2861009521486,651.2774658203125,0.8142245491086199
r2_uv,psi_raw,max,571.6273193359375,685.90625,0.833389868274181
r2_alpha,psi_raw,tip_2l0_mean,1.3337802881306526,2.8790210039561908,0.46327563650902365
r2_alpha,psi_raw,domain_mean,0.4170814463172661,0.9048060665071079,0.46096225672685587
r2_alpha,psi_raw,p99,3.0549694395065266,156.2744430541712,0.019548746294028047
r2_alpha,psi_raw,p999,530.2861009521486,651.2774658203125,0.8142245491086199
r2_alpha,psi_raw,max,571.6273193359375,685.90625,0.833389868274181
r3_uv,psi_raw,tip_2l0_mean,3.3151201667449968,2.8790210039561908,1.1514748111213995
r3_uv,psi_raw,domain_mean,1.5760995455716549,0.9048060665071079,1.7419197371830104
r3_uv,psi_raw,p99,0.18249239683151205,156.2744430541712,0.0011677686591930621
r3_uv,psi_raw,p999,2153.0573879394533,651.2774658203125,3.305898792656035
r3_uv,psi_raw,max,2409.91943359375,685.90625,3.513482248621805
r3_alpha,psi_raw,tip_2l0_mean,3.3151201667449968,2.8790210039561908,1.1514748111213995
r3_alpha,psi_raw,domain_mean,1.5760995455716549,0.9048060665071079,1.7419197371830104
r3_alpha,psi_raw,p99,0.18249239683151205,156.2744430541712,0.0011677686591930621
r3_alpha,psi_raw,p999,2153.0573879394533,651.2774658203125,3.305898792656035
r3_alpha,psi_raw,max,2409.91943359375,685.90625,3.513482248621805
initial_joint,g_alpha,tip_2l0_mean,0.5541345099735264,0.5569531401259017,0.9949391969461954
initial_joint,g_alpha,domain_mean,0.9892623783856866,0.9886150670258633,1.000654765824853
initial_joint,g_alpha,p99,1.00016188621521,1.0000028610229492,1.0001590247372873
