saved_index,fem_cycle,selector,x,y,alpha_bar,psi_raw,g_alpha,psi_active,delta_alpha_bar
3,4,max_psi_raw,-0.4946666657924652,-0.0013333334354683757,0.03530348092317581,2780.628662109375,2.999735897901701e-06,0.008341151289641857,0.008341151289641857
3,4,max_psi_active,0.0026666668709367514,0.0013333334354683757,1.7029584646224976,6.793635368347168,0.06304652243852615,0.42831507325172424,0.42831507325172424
3,4,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,1.7029584646224976,6.793635368347168,0.06304652243852615,0.42831507325172424,0.42831507325172424
3,4,max_psi_raw,-0.4946666657924652,-0.0013333334354683757,0.03530348092317581,2780.628662109375,2.999735897901701e-06,0.008341151289641857,0.008341151289641857
3,4,max_psi_active,0.0026666668709367514,0.0013333334354683757,1.7029584646224976,6.793635368347168,0.06304652243852615,0.42831507325172424,0.42831507325172424
3,4,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,1.7029584646224976,6.793635368347168,0.06304652243852615,0.42831507325172424,0.42831507325172424
3,4,max_psi_raw,-0.4946666657924652,-0.0013333334354683757,0.03530348092317581,2780.628662109375,2.999735897901701e-06,0.008341151289641857,0.008341151289641857
3,4,max_psi_active,0.0026666668709367514,0.0013333334354683757,1.7029584646224976,6.793635368347168,0.06304652243852615,0.42831507325172424,0.42831507325172424
3,4,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,1.7029584646224976,6.793635368347168,0.06304652243852615,0.42831507325172424,0.42831507325172424
3,4,max_psi_raw,-0.4946666657924652,-0.0013333334354683757,0.03530348092317581,2780.628662109375,2.999735897901701e-06,0.008341151289641857,0.008341151289641857
3,4,max_psi_active,0.0026666668709367514,0.0013333334354683757,1.7029584646224976,6.793635368347168,0.06304652243852615,0.42831507325172424,0.42831507325172424
3,4,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,1.7029584646224976,6.793635368347168,0.06304652243852615,0.42831507325172424,0.42831507325172424
3,4,max_psi_raw,-0.4946666657924652,-0.0013333334354683757,0.03530348092317581,2780.628662109375,2.999735897901701e-06,0.008341151289641857,0.008341151289641857
3,4,max_psi_active,0.0026666668709367514,0.0013333334354683757,1.7029584646224976,6.793635368347168,0.06304652243852615,0.42831507325172424,0.42831507325172424
3,4,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,1.7029584646224976,6.793635368347168,0.06304652243852615,0.42831507325172424,0.42831507325172424
19,20,max_psi_raw,-0.49933335185050964,-0.0006666667177341878,0.1381896734237671,2800.923583984375,2.8959275368833914e-06,0.008111272007226944,0.008111272007226944
19,20,max_psi_active,0.05666666850447655,-0.0006666667177341878,1.4861611127853394,5.40114688873291,0.0887623280286789,0.4794183671474457,0.4794183671474457
19,20,max_delta_alpha_bar,0.05666666850447655,-0.0006666667177341878,1.4861611127853394,5.40114688873291,0.0887623280286789,0.4794183671474457,0.4794183671474457
19,20,max_psi_raw,-0.49933335185050964,-0.0006666667177341878,0.1381896734237671,2800.923583984375,2.8959275368833914e-06,0.008111272007226944,0.008111272007226944
19,20,max_psi_active,0.05666666850447655,-0.0006666667177341878,1.4861611127853394,5.40114688873291,0.0887623280286789,0.4794183671474457,0.4794183671474457
