saved_index,fem_cycle,field,metric,FEM_nstep2_projected,PIDL_resstiff,PIDL_over_FEM
19,20,psi_raw,domain_mean,1.1144562220934804,2.1189868450164795,1.901363914534042
19,20,psi_raw,tip_2l0_mean,48.94149887901553,45.22658157348633,0.9240947377865855
19,20,psi_raw,tip_2l0_integral,0.06186205843297202,0.05716640502214432,0.9240947758646687
19,20,psi_raw,right_band_mean,0.008514877528284918,0.008545160293579102,1.0035564534185712
19,20,g_alpha,max,1.0000573043462422,1.001109004020691,1.0010516394109399
19,20,g_alpha,p999,1.0000456019022517,1.0010724067687988,1.0010267580444272
19,20,g_alpha,p99,1.0000405014353315,1.0010082721710205,1.0009677315411725
19,20,g_alpha,domain_mean,0.987382501311347,0.9889588356018066,1.0015964778476083
19,20,g_alpha,tip_2l0_mean,0.41810288206861745,0.4121921956539154,0.9858630813893027
19,20,g_alpha,tip_2l0_integral,0.0005284820758240556,0.0005210109520703554,0.9858630517562008
19,20,g_alpha,right_band_mean,1.0000394367602232,1.0008488893508911,1.000809420669739
19,20,psi_active,max,0.3224991727161346,0.4794183671474457,1.4865723936893076
19,20,psi_active,p999,0.10472564843095324,0.10733436793088913,1.0249100343518602
19,20,psi_active,p99,0.03415577241922712,0.034735362976789474,1.016969036754563
19,20,psi_active,domain_mean,0.004197366516029803,0.00431860564276576,1.0288845699495013
19,20,psi_active,tip_2l0_mean,0.0009012618220446963,0.0012614612933248281,1.3996612998240021
19,20,psi_active,tip_2l0_integral,1.139195013960662e-06,1.5944871165629593e-06,1.3996612494109977
19,20,psi_active,right_band_mean,0.00851520999611085,0.008552350103855133,1.0043616197088794
39,40,alpha_bar,max,6.920406818389893,2.474531888961792,0.3575702923108671
39,40,alpha_bar,p999,2.6288248476982123,1.5282307863235474,0.5813361006769469
39,40,alpha_bar,p99,2.1244487714767444,0.9189164042472839,0.43254345154603463
39,40,alpha_bar,domain_mean,0.1685644438132181,0.16968463361263275,1.0066454690803945
39,40,alpha_bar,tip_2l0_mean,0.5867260319383277,0.4923270046710968,0.8391088478631651
39,40,alpha_bar,tip_2l0_integral,0.000741621750523811,0.0006223013624548912,0.8391088341399868
39,40,alpha_bar,right_band_mean,0.3398811550284007,0.3416195809841156,1.00511480536651
39,40,delta_alpha_bar,max,0.32408857345581055,0.4186673164367676,1.2918299215934956
39,40,delta_alpha_bar,p999,0.1535134221911446,0.10691068321466446,0.6964256394567665
39,40,delta_alpha_bar,p99,0.10299158096313477,0.03423266112804413,0.332383101685734
39,40,delta_alpha_bar,domain_mean,0.003321027827529084,0.0034263315610587597,1.0317081756005713
39,40,delta_alpha_bar,tip_2l0_mean,0.00796460246819498,0.0009475031984038651,0.11896428003626375
39,40,delta_alpha_bar,tip_2l0_integral,1.0067258146319811e-05,1.1976441101069213e-06,0.11896427932015752
39,40,delta_alpha_bar,right_band_mean,0.008370722328117239,0.008458225056529045,1.0104534262375284
39,40,psi_raw,max,1640.9962158203125,2776.083984375,1.691706511941755
39,40,psi_raw,p999,1249.4049399414068,2626.38134765625,2.1021057814765958
39,40,psi_raw,p99,490.35635375976057,0.07322632521390915,0.00014933287730943686
39,40,psi_raw,domain_mean,1.4467157402873174,2.6046886444091797,1.800414948061524
39,40,psi_raw,tip_2l0_mean,93.79736843100262,97.61981964111328,1.0407522223069878
39,40,psi_raw,tip_2l0_integral,0.11855988107519128,0.12339145690202713,1.0407521986612962
