case_id,cycle,load_factor,threshold,support_area,centroid_x,centroid_y,rms_width_x,rms_width_y,crack_tip_x,damaged_component_size,right_boundary_connected_size,event_hit_reconstructed
P0_parent,31,1.0,0.003848310123866406,0.0015806763304737135,0.13426055340868503,-0.00012544598493617517,0.009035732253695833,0.010882364200878151,0.1304933030704698,640,0,False
P0_parent,32,1.0,0.004807819727891921,0.0014408645291482788,0.1410383400364107,-8.440714495692451e-05,0.008315356454385088,0.010003371569591225,0.1381970310905921,647,0,False
P0_parent,33,1.0,0.006220252475517121,0.0017388256785429732,0.1484762695365167,2.810748619348435e-06,0.00794021582513933,0.007698391719306457,0.1457530731889533,656,0,False
P0_parent,34,1.0,0.0043962684567057505,0.0015687779040166462,0.15635551513454324,-0.00027581224860302137,0.00875165495001461,0.010402120755939348,0.1536598551094827,663,0,False
P0_parent,35,1.0,0.004714567548573094,0.0016564195268276983,0.16274938436837957,-0.000706614629337603,0.008747364625737736,0.010332150333393578,0.1596576951326536,670,0,False
P0_parent,36,1.0,0.004194493476928739,0.0016377724178147212,0.16930292860796067,-0.0011307042417643234,0.008694214593355098,0.010632980097736444,0.1656525835891462,675,0,False
P0_parent,37,1.0,0.005502200521565791,0.0015491481840598925,0.1768943413741769,-0.000128126029553146,0.00825623319618725,0.009812264087068869,0.1736289018026371,684,0,False
P0_parent,38,1.0,0.005154217777684773,0.0017219847643016827,0.18427766173325708,-0.00021738745458632609,0.008718896116694248,0.010239705178889775,0.1815688906443072,692,0,False
P0_parent,39,1.0,0.005838408130527621,0.0016743037796417457,0.19267569703906132,-0.000334873394725291,0.008415873908611112,0.009890229848940831,0.1894776568144491,700,0,False
P0_parent,40,1.0,0.005607979438093751,0.0016057527151374469,0.20135547424631015,-0.0008059958519115358,0.008308428913749265,0.009843791601937091,0.19940130078091,709,0,False
P0_parent,41,1.0,0.005481578363186619,0.0016581742042391864,0.20954867175972208,-0.00020996104573535554,0.008427256449388115,0.009925470339916913,0.207424216666718,718,0,False
P0_parent,42,1.0,0.00557441774305576,0.001739024278950487,0.21773628468865017,-0.0005530968317686737,0.008496921580088348,0.010028934186163624,0.2153829469885599,726,0,False
P0_parent,43,1.0,0.005088651198294852,0.0016555785699134383,0.22606059710617427,-0.0007419354928375313,0.008222988810947325,0.010043052374250964,0.2236001798328855,733,0,False
P0_parent,44,1.0,0.0053405087854313405,0.001628885214201896,0.23408373956751705,-0.0014235330938394924,0.00813030941147553,0.009879639155727251,0.2318055841368847,741,0,False
P0_parent,45,1.0,0.006053907508377988,0.0016584432736857422,0.2428022881134002,-0.0014299006260143588,0.007592129780892645,0.007710994709336618,0.2398826066831282,751,0,False
P0_parent,46,1.0,0.002578838256640994,0.002167846445433129,0.2365328871842589,-0.002170644731323201,0.08152829548446286,0.020285624010535155,0.2440138939911208,755,0,False
P0_parent,47,1.0,0.00662523853725653,0.0018106244871319258,0.25656900882109945,-0.0002551807488288773,0.00802515676338814,0.007945239318644616,0.2542801864279843,765,0,False
P0_parent,48,1.0,0.0060939998164117465,0.0017053925844597523,0.26703027722115596,7.316900016495075e-05,0.007627694108828933,0.007769267687231601,0.2644422339434812,775,0,False
P0_parent,49,1.0,0.005860059307824783,0.0017197756720154147,0.27639188853340524,-0.00012316304544699922,0.007706616560079948,0.007814438830354743,0.2745852735034472,786,0,False
P0_parent,50,1.0,0.005544801569941446,0.0016938780072855361,0.28535921009998966,-0.000667509620214318,0.007593321213910343,0.00782687012040644,0.2826202840491989,795,0,False
P0_parent,51,1.0,0.0056125437513781596,0.001698067872566245,0.29401658432519595,-0.0010414026079107826,0.0076089009059104075,0.007914843081834544,0.2905402262240643,803,0,False
P0_parent,52,1.0,0.006127235076609132,0.0016588184838392628,0.303473808634127,-0.0007233083512359914,0.007589890819467023,0.007614012169999797,0.3004064297157469,813,0,False
P0_parent,53,1.0,0.005321432352192721,0.0016264474407516904,0.3124906756100194,-0.0004230476840876584,0.007453931476393202,0.007829724596813924,0.3103819554792672,822,0,False
P0_parent,54,1.0,0.006208707196195844,0.0018523304399429273,0.32135944738660327,-0.00014721081602707317,0.008228229945433613,0.007977380986322238,0.3202160618408005,833,0,False
