reference,cycle,fem_cycle,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL,fem_E_d_abs,pidl_E_d_abs,abs_E_d_PIDL_over_FEM
"FEM n_step2 [1,0]",2,2,1,g_alpha,tip_l0_mean,0.24002122304994808,0.22113186120986938,0.9213012849445074,1.085421258324016,,,
"FEM n_step2 [1,0]",2,2,1,g_alpha,top1_mean,1.0000080599501497,1.0002323389053345,1.000224277147522,0.9997757731414382,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,crack_strip_mean,0.006902600110328797,0.006931418087333441,1.0041749451719681,0.9958424125277762,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,domain_mean,0.00478945983293854,0.004785244818776846,0.9991199395529522,1.0008808356356511,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,max,0.2571633085059211,0.4221639931201935,1.6416182991768955,0.6091550030243926,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,p99,0.0340805809426824,0.03529394790530205,1.0356028837847666,0.9656211040523077,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,p999,0.10912325263361138,0.11257544904947281,1.0316357543653176,0.9693343757896598,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,right_band_mean,0.008559903267197683,0.008583063259720802,1.0027056371783862,0.997301663541057,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,tip_2l0_integral,3.4856353868197995e-05,7.010441913735121e-05,2.011237876527086,0.4972062288955867,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,tip_2l0_mean,0.05585953817698037,0.05546235293149948,0.9928895716211888,1.0071613486353788,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,tip_4l0_integral,7.676026075757348e-05,0.00015669949061702937,2.0414142561594772,0.48985647914564145,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,tip_4l0_mean,0.03065505652430805,0.03114059753715992,1.015838855572387,0.9844081022442657,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,tip_l0_integral,1.5120028256165104e-05,2.9043010727036744e-05,1.920830453157032,0.5206081558923763,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,tip_l0_mean,0.09000016111023486,0.08963891863822937,0.9959862019406496,1.0040299735594025,,,
"FEM n_step2 [1,0]",2,2,1,psi_active,top1_mean,0.060839628499775034,0.06411589682102203,1.053850892946513,0.9489008423231976,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,crack_strip_mean,0.008209465087104618,0.006931420881301165,0.8443206479054284,1.1843841584127754,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,domain_mean,0.0048417272905654195,0.0047852457500994205,0.9883344234244545,1.0118032685081693,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,max,0.24511076509952548,0.4221305549144745,1.7222032444926334,0.5806515596796493,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,p99,0.03597139492630975,0.03529270738363266,0.9811325764800772,1.0192302487678186,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,p999,0.1125040277838707,0.11258809268474579,1.000747216811087,0.9992533411049916,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,right_band_mean,0.008559889876560627,0.008583063259720802,1.0027072057578252,0.9973001034177478,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,tip_2l0_integral,3.548155039461491e-05,7.010447006905451e-05,1.9758006425698462,0.5061239370280493,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,tip_2l0_mean,0.05686145562846012,0.055462393909692764,0.9753952531938507,1.0252254116734556,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,tip_4l0_integral,7.827266078657257e-05,0.00015669982531107962,2.0019739170277573,0.4995070073063969,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,tip_4l0_mean,0.03125905015224473,0.031140664592385292,0.9962127588879749,1.0038016388349138,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,tip_l0_integral,1.537134300668654e-05,2.9043119866400957e-05,1.8894328136303502,0.5292593590976136,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,tip_l0_mean,0.09149608212659177,0.08963925391435623,0.9797059265371989,1.0207144541163808,,,
"FEM n_step2 [1,0]",2,2,1,delta_alpha_bar,top1_mean,0.06326346322894097,0.06411615759134293,1.0134784648022854,0.9867007881564461,,,
"FEM n_step2 [1,0]",3,3,2,alpha_bar,crack_strip_mean,0.024434307541572668,0.020848942920565605,0.8532651430818368,1.1719686525435504,,,
"FEM n_step2 [1,0]",3,3,2,alpha_bar,domain_mean,0.014517772004083485,0.014359500259160995,0.9890980692575988,1.0110220928351261,,,
"FEM n_step2 [1,0]",3,3,2,alpha_bar,max,0.7322266101837158,1.2687549591064453,1.7327353874616964,0.5771221660480492,,,
"FEM n_step2 [1,0]",3,3,2,alpha_bar,p99,0.1078006945550454,0.10595469176769257,0.982875780207425,1.0174225676707194,,,
