cycle,path,n_elem,alpha_max,hist_max,hist_mean,f_min,psi_max,E_el,E_d,E_hist,precrack_half_width,precrack_x_max,n_elem_precrack_mask,n_elem_outside_precrack,hist_max_outside_precrack,hist_mean_outside_precrack,f_min_outside_precrack,f_mean_outside_precrack,psi_max_outside_precrack,psi_mean_outside_precrack,E_el_outside_precrack,E_d_outside_precrack,E_hist_outside_precrack
33,,90000,1.0001522302627563,5.264599800109863,0.17311814427375793,0.030092736706137657,0.42712005972862244,0.0037542269565165043,0.005727781448513269,6.37845401496584e-11,0.02,0.0,10000,80000,3.121112823486328,0.19207388162612915,0.07626336067914963,0.9780369400978088,0.42712005972862244,0.004971466958522797,0.003743929322808981,0.00036398664815351367,1.2923368972184157e-11
34,,90000,1.0001524686813354,5.41853666305542,0.1775430589914322,0.02854771539568901,0.4608249366283417,0.003707688534632325,0.005747264251112938,7.362725013004834e-11,0.02,0.0,10000,80000,3.1312694549560547,0.1969940960407257,0.07583733648061752,0.976708710193634,0.4608249366283417,0.0049202158115804195,0.0036975331604480743,0.00038338321610353887,1.039950243975074e-11
35,,90000,1.0001534223556519,5.5753021240234375,0.18192417919635773,0.027093444019556046,0.39498013257980347,0.0036622879561036825,0.005765958223491907,8.0281170600216e-11,0.02,0.0,10000,80000,3.140606641769409,0.20186541974544525,0.07544881850481033,0.9753482341766357,0.39498013257980347,0.004871331620961428,0.003652208484709263,0.00040205102413892746,1.4191649591599464e-11
36,,90000,1.0001535415649414,5.739229202270508,0.18625785410404205,0.02568846195936203,0.4140467047691345,0.003614261979237199,0.005786325316876173,8.136598339536505e-11,0.02,0.0,10000,80000,3.1504673957824707,0.20668403804302216,0.075041763484478,0.9739297032356262,0.4140467047691345,0.004818619228899479,0.0036043007858097553,0.00042250126716680825,2.1195314600652715e-11
37,,90000,1.0001530647277832,5.898242950439453,0.19054414331912994,0.024427475407719612,0.41345012187957764,0.003565015736967325,0.005808121524751186,8.400528189733691e-11,0.02,0.0,10000,80000,3.160756826400757,0.21145060658454895,0.07462050765752792,0.9724773168563843,0.41345012187957764,0.004766566678881645,0.0035552813205868006,0.00044411348062567413,1.74431424165844e-11
38,,90000,1.0001553297042847,6.055032253265381,0.194783553481102,0.023272892460227013,0.3741242289543152,0.003517185105010867,0.005829045549035072,7.685435621240799e-11,0.02,0.0,10000,80000,3.172441244125366,0.21616584062576294,0.07414643466472626,0.97096848487854,0.3741242289543152,0.004715241026133299,0.003507695160806179,0.0004647044697776437,1.924012338339054e-11
39,,90000,1.0001553297042847,6.213339328765869,0.19897247850894928,0.022188236936926842,0.372408926486969,0.003468145616352558,0.005850903689861298,7.758366171728426e-11,0.02,0.0,10000,80000,3.184758424758911,0.2208254337310791,0.07365155965089798,0.9694190621376038,0.372408926486969,0.004659590777009726,0.003458856139332056,0.0004862939822487533,1.436123095444053e-11
40,,90000,1.0001499652862549,6.363208770751953,0.20311036705970764,0.021229786798357964,0.37568631768226624,0.003414987586438656,0.005875696428120136,9.356265762150429e-11,0.02,0.0,10000,80000,3.1970160007476807,0.22542829811573029,0.07316397875547409,0.9678321480751038,0.37568631768226624,0.004602876491844654,0.003405825002118945,0.0005109672201797366,1.804329949339767e-11
41,,90000,1.000146508216858,6.516716003417969,0.20719850063323975,0.020311040803790092,0.39231589436531067,0.0033646258525550365,0.005898662377148867,7.090504572371259e-11,0.02,0.0,10000,80000,3.209853172302246,0.22997622191905975,0.07265851646661758,0.9661816358566284,0.39231589436531067,0.004547898657619953,0.003355632536113262,0.0005335934110917151,1.8364275378157657e-11
42,,90000,1.0002726316452026,6.669836521148682,0.2112348973751068,0.0194527730345726,0.37621966004371643,0.003311357693746686,0.005923899356275797,8.070903667611873e-11,0.02,0.0,10000,80000,3.2213196754455566,0.23446686565876007,0.07221144437789917,0.9644742012023926,0.37621966004371643,0.0044906651601195335,0.0033025448210537434,0.000558628118596971,2.961356507236168e-11
43,,90000,1.0002855062484741,6.82067346572876,0.21522419154644012,0.018659410998225212,0.40123602747917175,0.003264369908720255,0.00594372907653451,8.67549088123809e-11,0.02,0.0,10000,80000,3.232255220413208,0.23890578746795654,0.07178891450166702,0.9627171158790588,0.40123602747917175,0.004438903648406267,0.0032557686790823936,0.0005783108645118773,1.9757360678052116e-11
