cycle,fem_E_el,fem_E_d,fem_total_energy,pidl_E_el,pidl_E_d,pidl_E_hist,pidl_E_el_outside_precrack,pidl_E_d_outside_precrack,pidl_total_energy,delta_fem_E_el_from_c1,delta_fem_E_d_from_c1,delta_fem_total_energy_from_c1,delta_pidl_E_el_from_c1,delta_pidl_E_d_from_c1,delta_pidl_E_hist_from_c1,delta_pidl_total_energy_from_c1,delta_pidl_E_el_outside_precrack_from_c1,delta_pidl_E_d_outside_precrack_from_c1,ratio_abs_E_d_pidl_over_fem,ratio_delta_E_d_pidl_over_fem,ratio_delta_E_d_outside_precrack_pidl_over_fem
50,0.00264065,0.00881179,0.0114524,0.0028665312565863,0.0061428803019225,7.803933194105994e-11,0.00285938475281,0.0007745967595838,0.009009411636548132,-0.00219522,0.0031124300000000002,0.0009172,-0.0019218330271541999,0.0007100398652254997,6.016472042791321e-12,-0.0012117931559122268,-0.0019066953100263999,0.0007053793087834481,0.6971205966009744,0.22813038854705156,0.2266329873389757
51,0.00256741,0.00891225,0.0114797,0.0028121308423578,0.0061696246266365,6.959613441104294e-11,0.0028051687404513,0.0008008916047401,0.008981755538590434,-0.00226846,0.0032128900000000004,0.0009445000000000009,-0.0019762334413826995,0.0007367841899394998,-2.42672548722568e-12,-0.0012394492538699252,-0.0019609113223851,0.0007316741539397482,0.6922634157072007,0.22932132439625996,0.22773084479697348
52,0.00249463,0.00901163,0.0115063,0.0027577220462262,0.0061959018930792,7.74109665258038e-11,0.0027509005740284,0.0008268445380963,0.008953624016716366,-0.00234124,0.00331227,0.0009711000000000008,-0.0020306422375142995,0.0007630614563822,5.388106627535181e-12,-0.0012675807757439924,-0.002015179488808,0.0007576270872959482,0.6875450826408985,0.23037417130312446,0.22873349313188485
53,0.00242589,0.00910615,0.011532,0.0027005646843463,0.0062244953587651,8.476991331107797e-11,0.0026938500814139,0.00085522653535,0.008925060127881313,-0.00240998,0.0034067900000000007,0.0009968000000000008,-0.0020877995993941996,0.0007916549220681,1.274705341280935e-11,-0.0012961446645790454,-0.0020722299814224998,0.0007860090845496482,0.6835485203697611,0.2323756151885205,0.23071838432942682
54,0.00235112,0.00920841,0.0115595,0.0026382361538708,0.0062571456655859,9.408662043908221e-11,0.0026315548457205,0.0008877724758349,0.008895381913543322,-0.00248475,0.0035090500000000005,0.0010243000000000006,-0.0021501281298696995,0.0008243052288889,2.206376054081359e-11,-0.0013258228789170372,-0.0021345252171159,0.0008185550250345482,0.6795033741531817,0.2349083737447172,0.23326969551147692
55,0.00228099,0.00930374,0.0115847,0.0025714342482388,0.0062943450175225,8.815012608742734e-11,0.0025648523587733,0.0009246704285033,0.008865779353911425,-0.00255488,0.00360438,0.0010495,-0.0022169300355017,0.0008615045808254996,1.6127266189158718e-11,-0.0013554254385489337,-0.0022012277040631,0.0008554529777029482,0.6765392215950252,0.23901602517645187,0.23733706704147403
56,0.00220388,0.00940911,0.011613,0.002509877551347,0.0063277557492256,9.738210238197098e-11,0.0025033152196556,0.0009578356402926,0.008837633397954701,-0.00263199,0.0037097500000000004,0.0010778000000000003,-0.0022784867323934997,0.0008949153125285998,2.535924248370236e-11,-0.0013835713945056574,-0.0022627648431808,0.0008886181894922482,0.6725137392618006,0.24123332098621195,0.23953586885699793
57,0.00213001,0.00950994,0.01164,0.0024443587753921,0.0063642375171184,8.330552220270349e-11,0.002437932183966,0.000994055182673,0.008808596375816023,-0.00270586,0.00381058,0.0011047999999999995,-0.0023440055083483995,0.0009313970804214,1.1282662304434865e-11,-0.0014126084166443363,-0.0023281478788704,0.0009248377318726482,0.6692195236897814,0.24442396706574854,0.24270261531647366
58,0.00205543,0.00961113,0.0116666,0.0023889536969363,0.0063924910500645,7.677447566578621e-11,0.002382626524195,0.0010220629628747,0.008781444823775275,-0.00278044,0.003911770000000001,0.0011313999999999994,-0.0023994105868041997,0.0009596506133674994,4.751615767517592e-12,-0.001439759968685084,-0.0023834535386414,0.0009528455120743481,0.6651133685700328,0.24532388493380214,0.24358423733357223
59,0.0019849,0.00970661,0.0116915,0.0023254468105733,0.0064269970171153,8.687527086603808e-11,0.0023193093948066,0.0010562250390648,0.008752443914563871,-0.00285097,0.0040072499999999995,0.0011563000000000007,-0.0024629174731671997,0.0009941565804182997,1.4852410967769458e-11,-0.0014687608778964877,-0.0024467706680298,0.0009870075882644483,0.6621258108768459,0.24808948291678828,0.2463054684046287
60,0.00191038,0.00980778,0.0117182,0.0022682980634272,0.0064569702371954,7.619663927593834e-11,0.0022622679825872,0.0010855352738872,0.008725268376819239,-0.00292549,0.004108420000000001,0.001183,-0.0025200662203132998,0.0010241298004983997,4.1737793776697174e-12,-0.0014959364156411203,-0.0025038120802492,0.0010163178230868481,0.6583518632346361,0.24927582878537236,0.24737437338121418
