cycle,E_el,E_d,total_energy,d_max,d_mean,d_p99,d_p999,alpha_bar_monitor_max,alpha_bar_elem_max,alpha_bar_elem_p999,alpha_bar_elem_p99,alpha_bar_elem_mean,f_fatigue_min,f_fatigue_p001,f_fatigue_mean,psi_plus_elem_max,psi_plus_elem_p999,psi_plus_elem_p99,psi_plus_elem_mean,psi_tip_top10_mean,psi_nominal_mean,Kt_proxy,x_max_d,y_max_d,x_max_alpha_bar_elem,y_max_alpha_bar_elem,x_min_f_fatigue_elem,y_min_f_fatigue_elem,x_max_psi_plus_elem,y_max_psi_plus_elem,x_tip_d095,y_tip_d095,x_tip_d090,y_tip_d090,x_tip_d050,y_tip_d050,width_y_d050_near_tip,width_y_d090_near_tip,n_elem_d050_near_tip,n_elem_d090_near_tip,right_boundary_d095_count,right_boundary_d095_yspan
21,0.00413412,0.0134255,0.0175597,1,0.145605850274293,1,1,1.32793,1.27443250998021,1.03835432924091,1.00015039286118,0.219762133863257,0.318385389571656,0.426559117706761,0.932035325165656,916.548427224999,14.5548177226453,7.15011760054387,1.06258983191397,836.021503887414,1.24136106857254,25.9513325963342,-0.499,-0.019000000000000017,0.049000000000000044,-0.0010000000000000009,0.039000000000000035,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.06899999999999995,-0.0010000000000000009,0.07099999999999995,-0.0010000000000000009,0.07699999999999996,-0.0010000000000000009,0.008,0.0,39,6,0,0
22,0.00408028,0.0134928,0.0175731,1,0.146033730090337,1,1,1.34057,1.28720347272326,1.04152711589404,1.00015762234925,0.224540939496658,0.313873469142336,0.424927919002141,0.931578169731576,977.973098518428,18.3989805548948,7.15638385639806,1.13316416345623,898.364922042158,1.3238597082043,26.0498610237702,-0.499,-0.019000000000000017,0.049000000000000044,-0.0010000000000000009,0.049000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.07499999999999996,-0.0010000000000000009,0.07699999999999996,-0.0010000000000000009,0.08299999999999996,-0.0010000000000000009,0.008,0.0,39,6,0,0
23,0.0040264,0.0135602,0.0175866,1,0.146464398679575,1,1,1.35164,1.29840978698129,1.0444825987334,1.00016490607534,0.229267215791976,0.309958911961716,0.420772589137114,0.931103140127913,1037.11987040737,19.6759600657227,7.16205681797482,1.20716645100056,958.547151074379,1.41036504056009,26.0699965203561,-0.499,-0.019000000000000017,0.049000000000000044,-0.0010000000000000009,0.049000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.08299999999999996,-0.0010000000000000009,0.08299999999999996,-0.0010000000000000009,0.08899999999999997,-0.0010000000000000009,0.008,0.0,34,5,0,0
24,0.00397419,0.0136255,0.0175997,1,0.146883817304529,1,1,1.36159,1.30849300184178,1.04748547922454,1.00017216376286,0.233938899347952,0.306498563399885,0.417657723756391,0.930606336038544,1092.24676369234,62.6627619957802,7.16826605597759,1.28187369353141,1014.75812136881,1.49769403388661,26.0297332784976,-0.499,-0.019000000000000017,0.049000000000000044,-0.0010000000000000009,0.049000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.08699999999999997,-0.0010000000000000009,0.08899999999999997,-0.0010000000000000009,0.09499999999999997,-0.0010000000000000009,0.008,0.0,39,6,0,0
25,0.00392051,0.0136927,0.0176133,1,0.147316593601057,1,1,1.37064,1.31768705376366,1.05078635536571,1.0001794927825,0.238560619905568,0.303393394391154,0.415846087955239,0.930082057958469,1147.09426464168,183.136746010535,7.17293255591684,1.36211919574201,1070.7807214356,1.59149658794021,25.9386527893058,-0.499,-0.019000000000000017,0.049000000000000044,-0.0010000000000000009,0.049000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.09499999999999997,-0.0010000000000000009,0.09499999999999997,-0.0010000000000000009,0.10099999999999998,-0.0010000000000000009,0.008,0.0,36,5,0,0
26,0.00386225,0.0137657,0.017628,1,0.147788102864386,1,1,1.37894,1.326127246109,1.05768819355004,1.0001867652018,0.243134903067566,0.300584046575282,0.413876916669398,0.929533186175839,1204.81614763828,270.198483923938,7.1788246253601,1.45339139428157,1129.83159807863,1.69818832814242,25.7937171108037,-0.499,-0.019000000000000017,0.049000000000000044,-0.0010000000000000009,0.049000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.10099999999999998,-0.0010000000000000009,0.10099999999999998,-0.0010000000000000009,0.10699999999999998,-0.0030000000000000027,0.008,0.0,38,5,0,0
27,0.00380887,0.0138326,0.0176415,1,0.148223794192808,1,1,1.3867,1.33402319547468,1.10278267505031,1.0001939998614,0.247647718363789,0.297990972677407,0.395892070540908,0.928956929877955,1255.28280988155,333.429351098323,7.18405390142057,1.5393393861856,1181.56954519563,1.79865604817625,25.6304117466846,-0.499,-0.019000000000000017,0.049000000000000044,-0.0010000000000000009,0.049000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.10699999999999998,-0.0010000000000000009,0.10699999999999998,-0.0010000000000000009,0.11299999999999999,-0.0030000000000000027,0.008,0.0,38,5,0,0
28,0.0037534,0.0139022,0.0176556,1,0.148677426459712,1,1,1.394,1.34145679393565,1.12380095599578,1.00020129043415,0.252110371574501,0.295580256950945,0.379273507903658,0.928338730243181,1306.14185897296,396.642406261643,7.18890599994432,1.63229602401646,1235.00157892907,1.90731609495971,25.4461697270563,-0.499,-0.019000000000000017,0.049000000000000044,-0.0010000000000000009,0.049000000000000044,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.11299999999999999,-0.0010000000000000009,0.11499999999999999,-0.0010000000000000009,0.119,-0.0030000000000000027,0.008,0.0,38,6,0,0
29,0.00369328,0.0139778,0.017671,1,0.149170089048421,1,1,1.40131,1.3484810793557,1.15905312457113,1.00020853380137,0.256524532190894,0.293148152752232,0.36469311829142,0.927684978818873,1359.40157891724,476.619739092296,7.19418811398512,1.73694655670636,1291.04155703629,2.02964516098065,25.2208693336308,-0.499,-0.019000000000000017,0.049000000000000044,-0.0010000000000000009,0.061000000000000054,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.119,-0.0010000000000000009,0.121,-0.0010000000000000009,0.127,-0.0010000000000000009,0.008,0.0,39,6,0,0
30,0.00363598,0.0140496,0.0176856,1,0.149644201534589,1,1,1.44464,1.35584042917815,1.17576470791079,1.0002157828689,0.260877766423467,0.290761382190479,0.356135809788713,0.926997884409412,1408.06408770845,550.566040117911,7.19769236690925,1.83962898775328,1342.33174585058,2.14967333513741,24.9887018832978,-0.499,-0.019000000000000017,0.061000000000000054,-0.0010000000000000009,0.061000000000000054,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.127,-0.0010000000000000009,0.127,-0.0010000000000000009,0.133,-0.0030000000000000027,0.008,0.0,38,5,0,0
31,0.00357947,0.0141207,0.0177001,1,0.150112479455207,1,1,1.48746,1.36299591532856,1.19889111856637,1.00022308487141,0.265174240289832,0.288523864054656,0.347735450853784,0.926267388453201,1454.18482284897,621.402377506527,7.20116607257195,1.94376878471037,1391.0152542682,2.27140477172692,24.7467789720945,-0.499,-0.019000000000000017,0.061000000000000054,-0.0010000000000000009,0.061000000000000054,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.133,-0.0010000000000000009,0.133,-0.0010000000000000009,0.139,-0.0030000000000000027,0.008,0.0,38,5,0,0
32,0.00351545,0.0142012,0.0177167,1,0.150643434726052,1,1,1.52968,1.36978947309884,1.20419870764129,1.00023035432138,0.269424443885892,0.286423416736849,0.344357755379644,0.925495625532219,1504.79199560789,699.937701804353,7.20317133994325,2.06633734459527,1444.53075074203,2.41467769369835,24.4587248024157,-0.499,-0.019000000000000017,0.061000000000000054,-0.0010000000000000009,0.061000000000000054,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.14100000000000001,-0.0010000000000000009,0.14100000000000001,-0.0010000000000000009,0.14700000000000002,-0.0030000000000000027,0.008,0.0,38,5,0,0
33,0.00345507,0.0142771,0.0177322,1,0.151150408992663,1,1,1.57131,1.37630215853023,1.21294217244222,1.00023760887877,0.273609507137204,0.284431355972246,0.341191709017254,0.924690682405865,1550.317087207,771.294225795794,7.20531623758269,2.18464760016808,1492.76457486598,2.55297270039166,24.1809063283773,-0.499,-0.019000000000000017,0.061000000000000054,-0.0010000000000000009,0.061000000000000054,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.14700000000000002,-0.0010000000000000009,0.14900000000000002,-0.0010000000000000009,0.15300000000000002,-0.0030000000000000027,0.008,0.0,38,6,0,0
34,0.00339132,0.0143575,0.0177488,1,0.151683963647341,1,1,1.61232,1.38256727113652,1.21708579599931,1.00024486982593,0.277739903202411,0.282534657837735,0.339545145843955,0.923850059972184,1596.47173156947,844.276772662378,7.20725055356549,2.3131742876806,1541.73081746334,2.70320957936709,23.8816548764567,-0.499,-0.019000000000000017,0.061000000000000054,-0.0010000000000000009,0.061000000000000054,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.15500000000000003,-0.0010000000000000009,0.15500000000000003,-0.0010000000000000009,0.16100000000000003,-0.0030000000000000027,0.008,0.0,38,5,0,0
35,0.00332978,0.014435,0.0177648,1,0.152204183768317,1,1,1.65269,1.40166744900527,1.23373834960818,1.00025223637983,0.281806749528341,0.280716910350751,0.337927456453419,0.922972819726278,1639.12426675685,912.293399245687,7.20967965737602,2.4402739959146,1587.0457173829,2.85177817113399,23.5904838509269,-0.499,-0.019000000000000017,0.499,-0.48875,0.061000000000000054,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.16100000000000003,-0.0010000000000000009,0.16300000000000003,-0.0010000000000000009,0.16700000000000004,-0.0030000000000000027,0.008,0.0,38,6,0,0
36,0.00326885,0.0145119,0.0177807,1,0.152720632772176,1,1,1.69242,1.43551984995191,1.24389711978496,1.00025957950894,0.28581319177938,0.275175210499747,0.330403677935053,0.922052355210191,1679.58221185467,977.319483135269,7.21023488329085,2.56897174096722,1630.08637499775,3.00221448356861,23.30153067969,-0.499,-0.019000000000000017,0.499,-0.48875,0.499,-0.48875,0.0030000000000000027,-0.0010000000000000009,0.16900000000000004,-0.0010000000000000009,0.16900000000000004,-0.0010000000000000009,0.17500000000000004,-0.0030000000000000027,0.008,0.0,38,5,0,0
