mapping,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,PIDL_minus_FEM
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,tip_4l0_mean,0.03196817662482374,0.062304649502038956,1.9489584981102273,0.030336472877215213
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,tip_l0_integral,1.5004824929240027e-05,5.8242876548320055e-05,3.8816098703572126,4.323805161908003e-05
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,tip_l0_mean,0.08931442707534876,0.17976194620132446,2.012686551184738,0.0904475191259757
FEM_c1_mixed_to_PIDL_saved_j1,1,alpha_bar,top1_mean,0.09729691925976011,0.1282937079668045,1.318579343959393,0.030996788707044393
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,crack_strip_mean,0.9999998335624969,0.9999099875147904,0.9999101539373398,-8.984604770645443e-05
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,domain_mean,1.0000000133914,0.9999964195489026,0.9999964061575507,-3.5938424973736005e-06
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,max,1.0,1.0,1.0,0.0
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,p99,1.0,1.0,1.0,0.0
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,p999,1.0,1.0,1.0,0.0
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,right_band_mean,0.9999999239844396,0.9999999984902388,1.0000000745058049,7.450579919687783e-08
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,tip_2l0_integral,0.0006239999984245514,0.0012604061543113718,2.0198816626499863,0.0006364061558868203
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,tip_2l0_mean,0.999999938784014,0.9971567055947821,0.9971567666367167,-0.002843233189231964
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,tip_4l0_integral,0.0025039999936780077,0.005028406144798086,2.0081494239191655,0.002524406151120078
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,tip_4l0_mean,1.0000000076275515,0.9992857736461083,0.9992857660240047,-0.000714233981443213
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,tip_l0_integral,0.00016799999957584077,0.0003204061566846435,1.9071795088904244,0.00015240615710880275
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,tip_l0_mean,0.9999999187951223,0.9889078227121216,0.988907903016267,-0.011092096083000658
FEM_c1_mixed_to_PIDL_saved_j1,1,fatigue_f,top1_mean,1.0,1.0,1.0,0.0
FEM_c1_mixed_to_PIDL_saved_j1,1,psi_plus_active,crack_strip_mean,0.007401652461324736,0.006931418087333441,0.9364690011523273,-0.00047023437399129533
FEM_c1_mixed_to_PIDL_saved_j1,1,psi_plus_active,domain_mean,0.0050289291215434495,0.004785244818776846,0.9515435002408995,-0.00024368430276660354
FEM_c1_mixed_to_PIDL_saved_j1,1,psi_plus_active,max,0.24880101566345167,0.4221639931201935,1.6967936887012012,0.1733629774567418
FEM_c1_mixed_to_PIDL_saved_j1,1,psi_plus_active,p99,0.03345344873086253,0.03529394790530205,1.0550167245609439,0.0018404991744395208
FEM_c1_mixed_to_PIDL_saved_j1,1,psi_plus_active,p999,0.10799535072018826,0.11257544904947281,1.0424101435732303,0.004580098329284549
