mode,mode_label,saved_index,fem_cycle,field,metric,FEM_nstep2_projected,PIDL,PIDL_over_FEM
current_active,current active,2,3,alpha_bar,right_band_mean,0.02568121079606649,0.025750286877155304,1.002689751726947
current_active,current active,2,3,delta_alpha_bar,max,0.24471110105514526,0.41149312257766724,1.681546610690693
current_active,current active,2,3,delta_alpha_bar,p999,0.11167380213737488,0.11390721052885056,1.0199993942064252
current_active,current active,2,3,delta_alpha_bar,p99,0.03606931470334493,0.03512181341648102,0.9737310981742594
current_active,current active,2,3,delta_alpha_bar,domain_mean,0.004844292909157893,0.0047839428298175335,0.9875420251268723
current_active,current active,2,3,delta_alpha_bar,tip_2l0_mean,0.0567145000160518,0.05545990541577339,0.977878768217593
current_active,current active,2,3,delta_alpha_bar,tip_2l0_integral,7.168713248163523e-05,7.010132685536519e-05,0.9778787967746332
current_active,current active,2,3,delta_alpha_bar,right_band_mean,0.008559855714840628,0.008582688868045807,1.0026674694020359
current_active,current active,2,3,psi_raw,max,663.0670776367188,2799.08544921875,4.221421246241263
current_active,current active,2,3,psi_raw,p999,638.0804443359375,2549.65234375,3.9958164623011942
current_active,current active,2,3,psi_raw,p99,158.39109268185703,0.056430794298648834,0.00035627504895111267
current_active,current active,2,3,psi_raw,domain_mean,0.8952262156304751,1.8575568199157715,2.074958024556466
current_active,current active,2,3,psi_raw,tip_2l0_mean,3.038979519465806,6.711170673370361,2.2083632450902653
current_active,current active,2,3,psi_raw,tip_2l0_integral,0.003841270351660723,0.00848292000591755,2.2083631791889027
current_active,current active,2,3,psi_raw,right_band_mean,0.008559780438886833,0.008581610396504402,1.002550294107825
current_active,current active,2,3,g_alpha,max,1.0000131258612277,1.0003390312194824,1.0003259010805223
current_active,current active,2,3,g_alpha,p999,1.0000124634814251,1.0003066062927246,1.0002941391453017
current_active,current active,2,3,g_alpha,p99,1.0000106767810095,1.0002496242523193,1.0002389449201472
current_active,current active,2,3,g_alpha,domain_mean,0.988547794433114,0.9894108772277832,1.0008730815035243
current_active,current active,2,3,g_alpha,tip_2l0_mean,0.5555037815491315,0.54470294713974,0.9805566860782275
current_active,current active,2,3,g_alpha,tip_2l0_integral,0.0007021568235758239,0.0006885045440867543,0.9805566519747775
current_active,current active,2,3,g_alpha,right_band_mean,1.0000103301209624,1.0001271963119507,1.0001168649837588
current_active,current active,2,3,psi_active,max,0.25645054631115255,0.41149312257766724,1.6045710508192907
current_active,current active,2,3,psi_active,p999,0.10808322185072357,0.11390721052885056,1.053884299324188
current_active,current active,2,3,psi_active,p99,0.03412808018950954,0.03512181341648102,1.0291177593774214
current_active,current active,2,3,psi_active,domain_mean,0.004788760633967184,0.0047839428298175335,0.998993935066314
current_active,current active,2,3,psi_active,tip_2l0_mean,0.05568635026378802,0.05545990541577339,0.995933566359764
