cycle,fem_cycle,pidl_saved_index,pidl_cycle_offset,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL
1,1,0,-1,alpha_bar,tip_2l0_mean,0.0558451230998102,0.056511033326387405,1.0119242324058817,0.9882162794169566
1,1,0,-1,alpha_bar,tip_4l0_integral,6.891271565873713e-05,0.00015648998669348657,2.270843416887547,0.4403650170519531
1,1,0,-1,alpha_bar,tip_4l0_mean,0.03187419649293245,0.031173262745141983,0.9780093672966504,1.0224850941501047
1,1,0,-1,alpha_bar,tip_l0_integral,1.2299690871512104e-05,2.9568132958956994e-05,2.4039736663171873,0.4159779343722882
1,1,0,-1,alpha_bar,tip_l0_mean,0.09188301035539309,0.09433785080909729,1.0267170224855406,0.973978202464334
1,1,0,-1,alpha_bar,top1_mean,0.10319036159891382,0.08516396582126617,0.8253093070095668,1.211666936876562
1,1,0,-1,fatigue_f,crack_strip_mean,1.000000013507537,1.0000000486634222,1.0000000351558846,0.9999999648441166
1,1,0,-1,fatigue_f,domain_mean,1.0000000577420989,0.9999999996826432,0.9999999419405476,1.0000000580594557
1,1,0,-1,fatigue_f,max,1.0,1.0,1.0,1.0
1,1,0,-1,fatigue_f,p99,1.0,1.0,1.0,1.0
1,1,0,-1,fatigue_f,p999,1.0,1.0,1.0,1.0
1,1,0,-1,fatigue_f,right_band_mean,1.000000019413944,1.0000000691391773,1.0000000497252324,0.9999999502747702
1,1,0,-1,fatigue_f,tip_2l0_integral,0.0005436376027319056,0.001259216516473316,2.3162792826424434,0.43172686795315385
1,1,0,-1,fatigue_f,tip_2l0_mean,0.9999999891256317,1.000000047489275,1.000000058363644,0.9999999416363595
1,1,0,-1,fatigue_f,tip_4l0_integral,0.002162022152447207,0.005020006615723105,2.321903413450656,0.43068113609164627
1,1,0,-1,fatigue_f,tip_4l0_mean,1.0000000471674622,1.0000000111422014,0.9999999639747409,1.0000000360252603
1,1,0,-1,fatigue_f,tip_l0_integral,0.00013386250236635533,0.0003134280797212341,2.3414180534549036,0.4270916073805956
1,1,0,-1,fatigue_f,tip_l0_mean,0.9999999040312918,0.9999999829521296,1.0000000789208454,0.9999999210791609
1,1,0,-1,fatigue_f,top1_mean,1.0,1.0,1.0,1.0
20,20,19,-1,damage_alpha,crack_strip_mean,0.23980205531828033,0.2430281788110733,1.0134532770726716,0.9867253109965454
20,20,19,-1,damage_alpha,domain_mean,0.004701810532285444,0.00934535451233387,1.9876076350084877,0.5031174072722505
20,20,19,-1,damage_alpha,max,1.006656527519226,1.0009573698043823,0.9943385280291297,1.0056937067319436
20,20,19,-1,damage_alpha,p99,1.0008055686950683,0.9779712557792664,0.9771840668856637,1.0233486544526373
20,20,19,-1,damage_alpha,p999,1.002398133277893,1.0006595849990845,0.9982656110171281,1.0017374023143046
20,20,19,-1,damage_alpha,right_band_mean,-2.5516166324311844e-05,-0.00042653814307413995,16.716388255697083,0.05982153469420595
20,20,19,-1,damage_alpha,tip_2l0_integral,0.0002374162192730181,0.000565630616620183,2.3824430291754117,0.4197372141763702
